Mouse Name,Conection Type,Price,
Zeb-Dolphin,Wireless Mouse,"Sale priceRs. 1,599.00",
Zeb-Kai,Wireless Mouse,"Sale priceRs. 1,499.00",
Zeb-Curve,Wireless Mouse,"Sale priceRs. 1,199.00",
Zeb-Jaguar,Wireless Mouse, Saleprice ,"Rs.1,499.00"
Zeb-Clear,Wireless Mouse,"Sale priceRs. 1,099.00",
Zeb-Ako,Wireless Mouse,Sale priceRs. 999.00,
Zeb-Pop,Wireless Mouse,Sale priceRs. 799.00,
Zeb-Cheetah,Wireless Mouse,Sale priceRs. 799.00,
Zeb-Velocity,Wired Mouse,Sale priceRs. 799.00,
Zeb-Spin,Wired Mouse,Sale priceRs. 599.00,
Zeb-Amaze,Wireless Mouse,Sale priceRs. 599.00,
Zeb-Shine,Wireless Mouse,Sale priceRs. 599.00,
Zeb-Haze,Wireless Mouse,Sale priceRs. 499.00,
Zeb-Dash Plus,Wireless Mouse,Sale priceRs. 449.00,
Zeb-Dash,Wireless Mouse,Sale priceRs. 449.00,
Zeb-Juggle,Wired Mouse,Sale priceRs. 399.00,
Zeb-Bold,Wireless Mouse,Sale priceRs. 399.00,
ZEB-DLM10,Wired Mouse,Sale priceRs. 333.00,
Zeb-Dazzle,Wireless Mouse,Sale priceRs. 329.00,
Power+,Wired Mouse,Sale priceRs. 299.00,
Zeb-Comfort,Wired Mouse,Sale priceRs. 299.00,
Zeb-Alex,Wired Mouse,Sale priceRs. 299.00,
Wing,Wired Mouse,Sale priceRs. 299.00,
Power,Wired Mouse,Sale priceRs. 299.00,
